CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012158889,1305-0,ASSAULT,09/09/2012 06:54:00 PM,09/09/2012 06:54:00 PM,1,"1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)","1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)"
SL2012180471,1313-0,ASSAULT,10/15/2012 04:23:00 AM,10/15/2012 04:23:00 AM,2,"600 W 300 S
Salt lake City, Utah
(40.775877644000445, -111.9083756709997)","600 W 300 S
Salt lake City, Utah
(40.775877644000445, -111.9083756709997)"
SL201230598,1313-0,ASSAULT,02/23/2012 12:28:00 AM,02/23/2012 12:00:00 AM,5,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL201231890,1311-0,ASSAULT,02/24/2012 10:44:00 PM,02/24/2012 10:44:00 PM,6,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL201212255,1313-0,ASSAULT,01/21/2012 10:53:00 PM,01/21/2012 10:53:00 PM,7,"400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)","400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)"
SL2012183992,1313-0,ASSAULT,10/21/2012 12:20:00 AM,10/21/2012 12:20:00 AM,1,"2400 E 1700 S
Salt lake City, Utah
(40.73355728900049, -111.8221572059997)","2400 E 1700 S
Salt lake City, Utah
(40.73355728900049, -111.8221572059997)"
SL201281073,1313-0,ASSAULT,05/15/2012 10:36:00 AM,05/15/2012 09:41:00 AM,3,"100 E 100 S
Salt lake City, Utah
(40.76715372600046, -111.88810808899967)","100 E 100 S
Salt lake City, Utah
(40.76715372600046, -111.88810808899967)"
SL2012154106,1313-0,ASSAULT,09/02/2012 10:27:00 AM,09/02/2012 10:27:00 AM,1,"100 E HAMPTON AVE
Salt lake City, Utah
(40.74432522900048, -111.8881081299997)","100 E HAMPTON AVE
Salt lake City, Utah
(40.74432522900048, -111.8881081299997)"
SL201253966,1316-2,ASSAULT,04/01/2012 04:35:00 PM,04/01/2012 04:35:00 PM,1,"600 S 200 W
Salt lake City, Utah
(40.75620985900048, -111.89684341799972)","600 S 200 W
Salt lake City, Utah
(40.75620985900048, -111.89684341799972)"
SL201249479,1306-0,ASSAULT,03/25/2012 09:15:00 AM,03/25/2012 09:15:00 AM,1,"800 S 900 W
Salt lake City, Utah
(40.751843729000484, -111.9168656009997)","800 S 900 W
Salt lake City, Utah
(40.751843729000484, -111.9168656009997)"
SL2012220631,1313-0,ASSAULT,12/29/2012 04:39:00 PM,12/29/2012 04:39:00 PM,7,"1400 E HOLLYWOOD AVE
Salt lake City, Utah
(40.72744500500045, -111.85074966999969)","1400 E HOLLYWOOD AVE
Salt lake City, Utah
(40.72744500500045, -111.85074966999969)"
SL2012213425,1313-0,ASSAULT,12/14/2012 01:16:00 PM,12/14/2012 01:16:00 PM,6,"1100 N 1500 W
Salt lake City, Utah
(40.79300576200046, -111.93403936799967)","1100 N 1500 W
Salt lake City, Utah
(40.79300576200046, -111.93403936799967)"
SL2012216862,1313-0,ASSAULT,12/21/2012 08:43:00 AM,12/21/2012 08:43:00 AM,6,"1100 S LAKE ST
Salt lake City, Utah
(40.74506092500047, -111.86965903199967)","1100 S LAKE ST
Salt lake City, Utah
(40.74506092500047, -111.86965903199967)"
SL2012113369,1313-0,ASSAULT,07/03/2012 08:31:00 PM,07/03/2012 08:31:00 PM,3,"700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)","700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)"
SL201219914,1313-0,ASSAULT,02/04/2012 11:52:00 AM,02/04/2012 10:58:00 AM,7,"700 N 300 W
Salt lake City, Utah
(40.784382046000474, -111.89966080399967)","700 N 300 W
Salt lake City, Utah
(40.784382046000474, -111.89966080399967)"
SL2012206285,1306-0,ASSAULT,11/30/2012 07:10:00 PM,11/30/2012 07:10:00 PM,6,"100 W 500 S
Salt lake City, Utah
(40.75851027200048, -111.89406707599971)","100 W 500 S
Salt lake City, Utah
(40.75851027200048, -111.89406707599971)"
SL2012106984,1313-0,ASSAULT,06/24/2012 04:08:00 PM,06/24/2012 04:08:00 PM,1,"800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164210000046, -111.91421576199969)","800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164210000046, -111.91421576199969)"
SL201280442,1305-0,ASSAULT,05/14/2012 10:34:00 AM,05/14/2012 10:34:00 AM,2,"1000 E SOUTH TEMPLE ST
Salt lake City, Utah
(40.76933693600046, -111.8623479749997)","1000 E SOUTH TEMPLE ST
Salt lake City, Utah
(40.76933693600046, -111.8623479749997)"
SL2012185521,1302-0,ASSAULT,10/23/2012 10:57:00 PM,10/23/2012 10:57:00 PM,3,"1400 S 300 E
Salt lake City, Utah
(40.739071796000474, -111.8825436619997)","1400 S 300 E
Salt lake City, Utah
(40.739071796000474, -111.8825436619997)"
SL201240752,1313-0,ASSAULT,03/10/2012 10:33:00 PM,03/10/2012 10:33:00 PM,7,"700 W JACKSON PARK PL
Salt lake City, Utah
(40.78078335800046, -111.91139114099968)","700 W JACKSON PARK PL
Salt lake City, Utah
(40.78078335800046, -111.91139114099968)"
SL2012209786,1313-0,ASSAULT,12/07/2012 01:09:00 PM,11/30/2012 05:00:00 PM,6,"00 S 800 E
Salt lake City, Utah
(40.68248430900047, -111.8683547439997)","00 S 800 E
Salt lake City, Utah
(40.68248430900047, -111.8683547439997)"
SL201276411,1305-0,ASSAULT,05/07/2012 08:08:00 PM,05/07/2012 08:08:00 PM,2,"1800 S 700 E
Salt lake City, Utah
(40.73127372500045, -111.87123516699967)","1800 S 700 E
Salt lake City, Utah
(40.73127372500045, -111.87123516699967)"
SL2012196075,1313-0,ASSAULT,11/11/2012 02:24:00 AM,11/11/2012 02:24:00 AM,1,"500 S ELIZABETH ST
Salt lake City, Utah
(40.75780415300045, -111.85820133099969)","500 S ELIZABETH ST
Salt lake City, Utah
(40.75780415300045, -111.85820133099969)"
SL201215711,1316-3,ASSAULT,01/28/2012 07:18:00 AM,01/28/2012 07:18:00 AM,7,"700 S 400 E
Salt lake City, Utah
(40.75403120100049, -111.8796705739997)","700 S 400 E
Salt lake City, Utah
(40.75403120100049, -111.8796705739997)"
SL2012161335,1313-0,ASSAULT,09/13/2012 07:15:00 PM,09/13/2012 07:15:00 PM,5,"400 N 200 W
Salt lake City, Utah
(40.77814240400045, -111.89673362199972)","400 N 200 W
Salt lake City, Utah
(40.77814240400045, -111.89673362199972)"
SL2012106558,1313-0,ASSAULT,06/23/2012 09:56:00 PM,06/23/2012 09:56:00 PM,7,"1800 W BLACK ANGUS DR
Salt lake City, Utah
(40.8085691120005, -111.94430757199967)","1800 W BLACK ANGUS DR
Salt lake City, Utah
(40.8085691120005, -111.94430757199967)"
SL201298159,1316-3,ASSAULT,06/11/2012 10:51:00 AM,06/11/2012 10:51:00 AM,2,"2300 E LOGAN WAY
Salt lake City, Utah
(40.733681084000466, -111.82389059199971)","2300 E LOGAN WAY
Salt lake City, Utah
(40.733681084000466, -111.82389059199971)"
SL2012186379,1316-2,ASSAULT,10/25/2012 01:24:00 PM,10/25/2012 01:24:00 PM,5,"1500 W CALIFORNIA AVE
Salt lake City, Utah
(40.74046362400048, -111.9338163809997)","1500 W CALIFORNIA AVE
Salt lake City, Utah
(40.74046362400048, -111.9338163809997)"
SL2012204026,1313-0,ASSAULT,11/26/2012 11:55:00 PM,11/26/2012 10:35:00 PM,2,"300 N I ST
Salt lake City, Utah
(40.77632202700045, -111.8715302119997)","300 N I ST
Salt lake City, Utah
(40.77632202700045, -111.8715302119997)"
SL2012153489,1313-0,ASSAULT,09/01/2012 12:10:00 PM,09/01/2012 12:10:00 PM,7,"300 S 1200 E
Salt lake City, Utah
(40.76275646100049, -111.85678340299967)","300 S 1200 E
Salt lake City, Utah
(40.76275646100049, -111.85678340299967)"
SL2012134863,1313-0,ASSAULT,08/04/2012 11:26:00 AM,08/04/2012 11:26:00 AM,7,"1900 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77166859500045, -111.94559007199967)","1900 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77166859500045, -111.94559007199967)"
SL2012207966,1313-0,ASSAULT,12/03/2012 11:15:00 PM,12/03/2012 11:15:00 PM,2,"400 S RIO GRANDE ST
Salt lake City, Utah
(40.76451600700045, -111.90408205999967)","400 S RIO GRANDE ST
Salt lake City, Utah
(40.76451600700045, -111.90408205999967)"
SL2012158579,1305-0,ASSAULT,09/09/2012 06:51:00 AM,09/09/2012 06:51:00 AM,1,"400 E EMERSON AVE
Salt lake City, Utah
(40.73735453500046, -111.87953929799971)","400 E EMERSON AVE
Salt lake City, Utah
(40.73735453500046, -111.87953929799971)"
SL2012189431,1313-0,ASSAULT,10/30/2012 08:24:00 PM,10/30/2012 08:24:00 PM,3,"00 N RIO GRANDE ST
Salt lake City, Utah
(40.770000508000464, -111.90406398399966)","00 N RIO GRANDE ST
Salt lake City, Utah
(40.770000508000464, -111.90406398399966)"
SL2012200894,1313-0,ASSAULT,11/20/2012 01:00:00 PM,11/20/2012 01:00:00 PM,3,"1700 W 1700 N
Salt lake City, Utah
(40.80565126300047, -111.9392545499997)","1700 W 1700 N
Salt lake City, Utah
(40.80565126300047, -111.9392545499997)"
SL2012130800,1313-0,ASSAULT,07/29/2012 02:03:00 AM,07/29/2012 02:03:00 AM,1,"1300 S UTAH ST
Salt lake City, Utah
(40.74126173600047, -111.93712245099971)","1300 S UTAH ST
Salt lake City, Utah
(40.74126173600047, -111.93712245099971)"
SL201272985,1316-2,ASSAULT,05/02/2012 12:03:00 PM,05/02/2012 12:03:00 PM,4,"400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)","400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)"
SL201218426,1313-0,ASSAULT,02/01/2012 11:22:00 PM,02/01/2012 11:22:00 PM,4,"00 E KELSEY AVE
Salt lake City, Utah
(40.743486548000476, -111.88390907699971)","00 E KELSEY AVE
Salt lake City, Utah
(40.743486548000476, -111.88390907699971)"
SL2012123319,1313-0,ASSAULT,07/18/2012 12:01:00 PM,07/18/2012 12:01:00 PM,4,"200 S 1000 W
Salt lake City, Utah
(40.76379160100049, -111.91972193699968)","200 S 1000 W
Salt lake City, Utah
(40.76379160100049, -111.91972193699968)"
SL2012197500,1316-1,ASSAULT,11/14/2012 01:46:00 AM,11/14/2012 01:46:00 AM,4,"1900 W SIR JAMES DR
Salt lake City, Utah
(40.783950663000496, -111.94533803999968)","1900 W SIR JAMES DR
Salt lake City, Utah
(40.783950663000496, -111.94533803999968)"
SL2012197745,1313-0,ASSAULT,11/14/2012 01:11:00 PM,11/14/2012 01:00:00 PM,4,"200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)","200 N 300 W
Salt lake City, Utah
(40.77374055700045, -111.89965195199972)"
SL2012150781,1316-2,ASSAULT,08/28/2012 12:29:00 PM,08/28/2012 12:29:00 PM,3,"1200 S MAIN ST
Salt lake City, Utah
(40.74287650500048, -111.89110761899968)","1200 S MAIN ST
Salt lake City, Utah
(40.74287650500048, -111.89110761899968)"
SL201269241,1313-0,ASSAULT,04/26/2012 11:09:00 AM,04/26/2012 11:09:00 AM,5,"200 W FREMONT AVE
Salt lake City, Utah
(40.7446939510005, -111.89470252099972)","200 W FREMONT AVE
Salt lake City, Utah
(40.7446939510005, -111.89470252099972)"
SL2012108549,1313-0,ASSAULT,06/26/2012 10:16:00 PM,06/26/2012 10:16:00 PM,3,"100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)","100 W 600 S
Salt lake City, Utah
(40.75632706100049, -111.89405821499969)"
SL201296952,1313-0,ASSAULT,06/09/2012 05:10:00 AM,06/08/2012 11:59:00 PM,6,"00 S 900 W
Salt lake City, Utah
(40.74757643200047, -111.91684769999966)","00 S 900 W
Salt lake City, Utah
(40.74757643200047, -111.91684769999966)"
SL20123339,1313-0,ASSAULT,01/06/2012 10:11:00 PM,01/06/2012 10:11:00 PM,6,"800 W GENESEE AVE
Salt lake City, Utah
(40.75088052700045, -111.91418519899969)","800 W GENESEE AVE
Salt lake City, Utah
(40.75088052700045, -111.91418519899969)"
SL201250970,1316-3,ASSAULT,03/27/2012 11:21:00 PM,03/27/2012 11:21:00 PM,3,"1000 W 400 S
Salt lake City, Utah
(40.76069791000049, -111.91972533599971)","1000 W 400 S
Salt lake City, Utah
(40.76069791000049, -111.91972533599971)"
SL2012105839,1313-0,ASSAULT,06/22/2012 09:56:00 PM,06/22/2012 09:55:00 PM,6,"00 N RIO GRANDE ST
Salt lake City, Utah
(40.770000508000464, -111.90406398399966)","00 N RIO GRANDE ST
Salt lake City, Utah
(40.770000508000464, -111.90406398399966)"
SL2012152539,1313-0,ASSAULT,08/30/2012 11:57:00 PM,08/30/2012 11:57:00 PM,5,"400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)","400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)"
SL2012191170,1313-0,ASSAULT,11/02/2012 05:58:00 PM,11/02/2012 05:58:00 PM,6,"400 N REDWOOD RD
Salt lake City, Utah
(40.77823088400049, -111.93937004599968)","400 N REDWOOD RD
Salt lake City, Utah
(40.77823088400049, -111.93937004599968)"
SL201238037,1313-0,ASSAULT,03/06/2012 06:09:00 PM,03/06/2012 05:05:00 PM,3,"300 S 300 E
Salt lake City, Utah
(40.762693511000464, -111.88260361999971)","300 S 300 E
Salt lake City, Utah
(40.762693511000464, -111.88260361999971)"
SL2012163812,1305-0,ASSAULT,09/17/2012 03:13:00 PM,09/17/2012 03:13:00 PM,2,"100 N 800 W
Salt lake City, Utah
(40.771703484000454, -111.91381403599968)","100 N 800 W
Salt lake City, Utah
(40.771703484000454, -111.91381403599968)"
SL2012215001,1313-0,ASSAULT,12/17/2012 03:14:00 PM,12/17/2012 03:14:00 PM,2,"500 S 400 E
Salt lake City, Utah
(40.7583934860005, -111.8796718699997)","500 S 400 E
Salt lake City, Utah
(40.7583934860005, -111.8796718699997)"
SL20126940,1313-0,ASSAULT,01/13/2012 12:47:00 AM,01/13/2012 12:47:00 AM,6,"300 S STATE ST
Salt lake City, Utah
(40.7627420660005, -111.8882624529997)","300 S STATE ST
Salt lake City, Utah
(40.7627420660005, -111.8882624529997)"
SL2012131799,1313-0,ASSAULT,07/30/2012 07:11:00 PM,07/30/2012 07:11:00 PM,2,"1700 S STATE ST
Salt lake City, Utah
(40.73343061100047, -111.88826349899966)","1700 S STATE ST
Salt lake City, Utah
(40.73343061100047, -111.88826349899966)"
SL2012108558,1313-0,ASSAULT,06/26/2012 10:26:00 PM,06/26/2012 10:26:00 PM,3,"600 E 400 S
Salt lake City, Utah
(40.76052489300048, -111.87375096899967)","600 E 400 S
Salt lake City, Utah
(40.76052489300048, -111.87375096899967)"
SL20122588,1306-0,ASSAULT,01/05/2012 07:01:00 PM,01/05/2012 07:01:00 PM,5,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL2012173082,1316-2,ASSAULT,10/02/2012 02:23:00 PM,10/02/2012 02:23:00 PM,3,"300 S MAIN ST
Salt lake City, Utah
(40.76269317700047, -111.8912419879997)","300 S MAIN ST
Salt lake City, Utah
(40.76269317700047, -111.8912419879997)"
SL2012162948,1305-0,ASSAULT,09/16/2012 01:46:00 AM,09/16/2012 01:46:00 AM,1,"700 S MAIN ST
Salt lake City, Utah
(40.75405295000047, -111.8911427859997)","700 S MAIN ST
Salt lake City, Utah
(40.75405295000047, -111.8911427859997)"
SL2012170782,1313-0,ASSAULT,09/28/2012 07:40:00 PM,09/28/2012 07:40:00 PM,6,"2100 S 1100 E
Salt lake City, Utah
(40.725304218000474, -111.8596637069997)","2100 S 1100 E
Salt lake City, Utah
(40.725304218000474, -111.8596637069997)"
SL201270601,1313-0,ASSAULT,04/28/2012 01:37:00 PM,04/28/2012 12:50:00 PM,7,"400 S 500 E
Salt lake City, Utah
(40.76046169800048, -111.8768161429997)","400 S 500 E
Salt lake City, Utah
(40.76046169800048, -111.8768161429997)"
SL201258459,1316-2,ASSAULT,04/09/2012 01:22:00 PM,04/08/2012 12:00:00 PM,1,"500 W 200 S
Salt lake City, Utah
(40.765116719000446, -111.90556798399967)","500 W 200 S
Salt lake City, Utah
(40.765116719000446, -111.90556798399967)"
SL201240162,1313-0,ASSAULT,03/10/2012 01:27:00 AM,03/10/2012 01:27:00 AM,7,"100 W 200 S
Salt lake City, Utah
(40.765037760000496, -111.89407594499971)","100 W 200 S
Salt lake City, Utah
(40.765037760000496, -111.89407594499971)"
SL201257094,1304-0,ASSAULT,04/06/2012 10:42:00 PM,04/06/2012 10:42:00 PM,6,"500 N REDWOOD RD
Salt lake City, Utah
(40.78028133000049, -111.93936157599967)","500 N REDWOOD RD
Salt lake City, Utah
(40.78028133000049, -111.93936157599967)"
SL201240697,1313-0,ASSAULT,03/10/2012 09:17:00 PM,03/10/2012 09:17:00 PM,7,"1800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164812900048, -111.94225631099971)","1800 W NORTH TEMPLE ST
Salt lake City, Utah
(40.77164812900048, -111.94225631099971)"
SL2012198275,1316-3,ASSAULT,11/15/2012 11:16:00 AM,11/15/2012 11:16:00 AM,5,"1500 S CLAYTON ST
Salt lake City, Utah
(40.736421460000486, -111.92774178799971)","1500 S CLAYTON ST
Salt lake City, Utah
(40.736421460000486, -111.92774178799971)"
SL201279132,1313-0,ASSAULT,05/12/2012 03:50:00 AM,05/12/2012 03:50:00 AM,7,"600 N CORTEZ ST
Salt lake City, Utah
(40.782099848000485, -111.88729923499972)","600 N CORTEZ ST
Salt lake City, Utah
(40.782099848000485, -111.88729923499972)"
SL201246308,1316-3,ASSAULT,03/20/2012 11:11:00 AM,03/20/2012 11:11:00 AM,3,"1200 S 300 W
Salt lake City, Utah
(40.74266257700049, -111.89970547499968)","1200 S 300 W
Salt lake City, Utah
(40.74266257700049, -111.89970547499968)"
SL201291313,1313-0,ASSAULT,05/31/2012 03:23:00 PM,05/04/2012 03:00:00 PM,6,"2000 S 300 E
Salt lake City, Utah
(40.7266270290005, -111.88257191599968)","2000 S 300 E
Salt lake City, Utah
(40.7266270290005, -111.88257191599968)"
SL2012111123,1313-0,ASSAULT,06/30/2012 02:31:00 PM,06/30/2012 02:31:00 PM,7,"1400 S STATE ST
Salt lake City, Utah
(40.73932921800048, -111.88826243999966)","1400 S STATE ST
Salt lake City, Utah
(40.73932921800048, -111.88826243999966)"
SL201261356,1313-0,ASSAULT,04/14/2012 02:41:00 AM,04/14/2012 02:41:00 AM,7,"2700 S 2000 E
Salt lake City, Utah
(40.71245052800049, -111.83412639499971)","2700 S 2000 E
Salt lake City, Utah
(40.71245052800049, -111.83412639499971)"
SL201268890,1313-0,ASSAULT,04/25/2012 07:09:00 PM,04/25/2012 07:09:00 PM,4,"700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)","700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)"
SL2012208221,1304-0,ASSAULT,12/04/2012 01:07:00 PM,12/04/2012 01:07:00 PM,3,"1300 W 500 N
Salt lake City, Utah
(40.78022843600047, -111.92852415099969)","1300 W 500 N
Salt lake City, Utah
(40.78022843600047, -111.92852415099969)"
SL2012150108,1313-0,ASSAULT,08/27/2012 11:55:00 AM,08/27/2012 11:55:00 AM,2,"300 S 600 W
Salt lake City, Utah
(40.762390422000465, -111.9082065929997)","300 S 600 W
Salt lake City, Utah
(40.762390422000465, -111.9082065929997)"
SL201269268,1313-0,ASSAULT,04/26/2012 11:57:00 AM,04/26/2012 11:57:00 AM,5,"1000 S 200 W
Salt lake City, Utah
(40.747140027000455, -111.89691222999971)","1000 S 200 W
Salt lake City, Utah
(40.747140027000455, -111.89691222999971)"
SL201226280,1303-0,ASSAULT,02/15/2012 01:14:00 PM,02/11/2012 08:00:00 PM,7,"700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)","700 N 900 W
Salt lake City, Utah
(40.78466103700049, -111.91681206799967)"
SL201254485,1313-0,ASSAULT,04/02/2012 03:01:00 PM,04/02/2012 03:01:00 PM,2,"600 N 900 W
Salt lake City, Utah
(40.78249996900047, -111.91681206899972)","600 N 900 W
Salt lake City, Utah
(40.78249996900047, -111.91681206899972)"
SL201221368,1313-0,ASSAULT,02/07/2012 03:48:00 AM,02/07/2012 01:54:00 AM,3,"1200 W SUNSET DR
Salt lake City, Utah
(40.797770641000454, -111.92660997499968)","1200 W SUNSET DR
Salt lake City, Utah
(40.797770641000454, -111.92660997499968)"
SL201280494,1316-1,ASSAULT,05/14/2012 12:13:00 PM,05/14/2012 12:13:00 PM,2,"1000 S EMERY ST
Salt lake City, Utah
(40.74803157500048, -111.92474374499972)","1000 S EMERY ST
Salt lake City, Utah
(40.74803157500048, -111.92474374499972)"
SL2012120507,1313-0,ASSAULT,07/14/2012 02:36:00 AM,07/14/2012 02:36:00 AM,7,"400 S 200 W
Salt lake City, Utah
(40.76058108100045, -111.89684508799968)","400 S 200 W
Salt lake City, Utah
(40.76058108100045, -111.89684508799968)"
SL2012193521,1303-0,ASSAULT,11/06/2012 09:01:00 PM,11/06/2012 07:03:00 PM,3,"900 E CRANDALL AVE
Salt lake City, Utah
(40.7075073580005, -111.86535940999971)","900 E CRANDALL AVE
Salt lake City, Utah
(40.7075073580005, -111.86535940999971)"
SL2012172760,1313-0,ASSAULT,10/01/2012 10:19:00 PM,10/01/2012 10:19:00 PM,2,"300 E REDONDO AVE
Salt lake City, Utah
(40.72628349000047, -111.8824177889997)","300 E REDONDO AVE
Salt lake City, Utah
(40.72628349000047, -111.8824177889997)"
SL2012104582,1302-0,ASSAULT,06/21/2012 09:37:00 AM,06/21/2012 09:37:00 AM,5,"800 S JEFFERSON ST
Salt lake City, Utah
(40.75186274700047, -111.8953886489997)","800 S JEFFERSON ST
Salt lake City, Utah
(40.75186274700047, -111.8953886489997)"
SL201250661,1316-3,ASSAULT,03/27/2012 02:08:00 PM,03/27/2012 01:13:00 PM,3,"800 S 200 W
Salt lake City, Utah
(40.75187029900047, -111.8969244329997)","800 S 200 W
Salt lake City, Utah
(40.75187029900047, -111.8969244329997)"
SL201221411,1313-0,ASSAULT,02/07/2012 09:16:00 AM,02/07/2012 09:16:00 AM,3,"1200 S PIONEER RD
Salt lake City, Utah
(40.74308618700047, -111.95805431599968)","1200 S PIONEER RD
Salt lake City, Utah
(40.74308618700047, -111.95805431599968)"
SL2012141719,1313-0,ASSAULT,08/14/2012 11:24:00 PM,08/14/2012 11:24:00 PM,3,"200 N SUN ARBOR TE
Salt lake City, Utah
(40.773896083000466, -111.94366229199971)","200 N SUN ARBOR TE
Salt lake City, Utah
(40.773896083000466, -111.94366229199971)"
SL201283273,1313-0,ASSAULT,05/18/2012 05:14:00 PM,05/18/2012 05:14:00 PM,6,"100 S 900 E
Salt lake City, Utah
(40.76709085600049, -111.86535460899967)","100 S 900 E
Salt lake City, Utah
(40.76709085600049, -111.86535460899967)"
SL201223931,1313-0,ASSAULT,02/11/2012 04:19:00 AM,02/11/2012 04:19:00 AM,7,"500 E 1300 S
Salt lake City, Utah
(40.74162648400045, -111.87662870199966)","500 E 1300 S
Salt lake City, Utah
(40.74162648400045, -111.87662870199966)"
SL2012129315,1313-0,ASSAULT,07/26/2012 10:27:00 PM,07/26/2012 10:27:00 PM,5,"300 E 1300 S
Salt lake City, Utah
(40.741615037000486, -111.88236890499968)","300 E 1300 S
Salt lake City, Utah
(40.741615037000486, -111.88236890499968)"
SL2012181362,1313-0,ASSAULT,10/16/2012 04:08:00 PM,10/16/2012 04:08:00 PM,3,"2500 S ALDEN ST
Salt lake City, Utah
(40.717290112000455, -111.85259632099968)","2500 S ALDEN ST
Salt lake City, Utah
(40.717290112000455, -111.85259632099968)"
SL2012206802,1305-0,ASSAULT,12/01/2012 05:40:00 PM,12/01/2012 05:40:00 PM,7,"900 S MAIN ST
Salt lake City, Utah
(40.749691725000446, -111.8910753889997)","900 S MAIN ST
Salt lake City, Utah
(40.749691725000446, -111.8910753889997)"
SL2012183934,1313-0,ASSAULT,10/20/2012 10:55:00 PM,10/20/2012 10:55:00 PM,7,"1200 N REDWOOD RD
Salt lake City, Utah
(40.79498040800047, -111.93919375499968)","1200 N REDWOOD RD
Salt lake City, Utah
(40.79498040800047, -111.93919375499968)"
SL2012133259,1316-1,ASSAULT,08/01/2012 11:33:00 PM,08/01/2012 11:33:00 PM,4,"800 S 500 E
Salt lake City, Utah
(40.751891954000484, -111.87681276499967)","800 S 500 E
Salt lake City, Utah
(40.751891954000484, -111.87681276499967)"
SL2012171013,1313-0,ASSAULT,09/29/2012 02:28:00 AM,09/29/2012 02:28:00 AM,7,"700 E LOVELAND AVE
Salt lake City, Utah
(40.716093430000456, -111.8711387349997)","700 E LOVELAND AVE
Salt lake City, Utah
(40.716093430000456, -111.8711387349997)"
SL2012101424,1302-0,ASSAULT,06/16/2012 11:58:00 AM,06/14/2012 01:00:00 PM,5,"300 S 1000 E
Salt lake City, Utah
(40.76275092300045, -111.86248462899971)","300 S 1000 E
Salt lake City, Utah
(40.76275092300045, -111.86248462899971)"
SL201241570,1316-3,ASSAULT,03/12/2012 02:27:00 PM,03/12/2012 02:27:00 PM,2,"900 W QUAYLE AVE
Salt lake City, Utah
(40.73222882900046, -111.91698802699972)","900 W QUAYLE AVE
Salt lake City, Utah
(40.73222882900046, -111.91698802699972)"
SL2012111332,1306-0,ASSAULT,06/30/2012 08:47:00 PM,06/30/2012 08:47:00 PM,7,"800 S MAIN ST
Salt lake City, Utah
(40.7518702160005, -111.8910829829997)","800 S MAIN ST
Salt lake City, Utah
(40.7518702160005, -111.8910829829997)"
SL2012184090,1305-0,ASSAULT,10/21/2012 04:38:00 AM,10/21/2012 04:38:00 AM,1,"300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)","300 N C ST
Salt lake City, Utah
(40.77633134200045, -111.88051303799966)"
SL201233693,1316-1,ASSAULT,02/28/2012 07:31:00 AM,02/27/2012 04:00:00 PM,2,"1800 S 1100 E
Salt lake City, Utah
(40.73110896000048, -111.85965581399967)","1800 S 1100 E
Salt lake City, Utah
(40.73110896000048, -111.85965581399967)"
SL2012172214,1305-0,ASSAULT,10/01/2012 04:50:00 AM,10/01/2012 04:50:00 AM,2,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL2012115147,1304-0,ASSAULT,07/06/2012 02:16:00 AM,07/06/2012 02:16:00 AM,6,"00 N MEDICAL DR
Salt lake City, Utah
(40.77272366200049, -111.8389056959997)","00 N MEDICAL DR
Salt lake City, Utah
(40.77272366200049, -111.8389056959997)"
SL20128306,1313-0,ASSAULT,01/15/2012 12:40:00 AM,01/15/2012 12:40:00 AM,1,"1100 S 1100 E
Salt lake City, Utah
(40.74560052300046, -111.92231628399969)","1100 S 1100 E
Salt lake City, Utah
(40.74560052300046, -111.92231628399969)"
